,portfolio_return,portfolio_value,regime
1973-07-31,0.013049208509306633,1.0130492085093066,2
1973-08-31,-0.015590655357167901,0.9972551074395863,2
1973-09-30,0.034402445036766004,1.031563121460911,2
1973-10-31,-0.0025802820889386153,1.0289013976149957,2
1973-11-30,-0.047301790613234834,0.9802325191433465,2
1973-12-31,0.017754777085453834,0.9976363290126494,2
1974-01-31,0.010087586225645448,1.007700071503401,4
1974-02-28,-0.0006436146535344464,1.0070515009710137,4
1974-03-31,-0.004620126983522022,1.0023987951575812,4
1974-04-30,-0.010584585597659808,0.9917888193072447,4
1974-05-31,-0.0019805988696258475,0.9898244834928173,4
1974-06-30,-0.00681091346036173,0.9830828745948004,4
1974-07-31,-0.059295505996449394,0.9247904781092576,4
1974-08-31,-0.054210181871075486,0.8746574180983159,4
1974-09-30,-0.06394025726442883,0.8187315977668684,4
1974-10-31,0.06894289724478887,0.8751773261827716,4
1974-11-30,-0.020379691689120516,0.8573414821018578,4
1974-12-31,-0.012795360058504755,0.8463714891452724,4
1975-01-31,0.0519298885025732,0.8903234662083432,4
1975-02-28,0.042579940047691014,0.9282333860225469,4
1975-03-31,0.03169136131447603,0.957650365643147,4
1975-04-30,0.01655925325479081,0.973508340577375,4
1975-05-31,0.024939001883956917,0.9977866669170818,4
1975-06-30,0.02266288880038657,1.020399395195932,4
1975-07-31,-0.040771633577371236,0.9787960449524322,4
1975-08-31,-0.010609186351242576,0.9684118153116728,4
1975-09-30,-0.023141863512425774,0.9460009612579096,4
1975-10-31,0.05140047816596022,0.9946258630120242,4
1975-11-30,0.02266334553056743,1.0171674126191044,4
1975-12-31,-0.002210110226471881,1.014919360518441,2
1976-01-31,0.044947615446830194,1.0605375656445668,2
1976-02-29,-0.01127676107110486,1.048578136909862,2
1976-03-31,0.014213338421967061,1.0634819328316376,2
1976-04-30,0.0012183616041716464,1.06477763838533,2
1976-05-31,0.003873422430064974,1.0689019719728834,2
1976-06-30,0.020534320549405936,1.0908511477012668,2
1976-07-31,0.0058354144954224875,1.097216716300911,2
1976-08-31,0.0016770662535008,1.0990568214285963,2
1976-09-30,0.016954408456384847,1.1176906796958728,2
1976-10-31,-0.007826460098226748,1.1089431181890732,2
1976-11-30,0.006702997552606322,1.116376361196274,2
1976-12-31,0.02793839778160794,1.1475661280493594,2
1977-01-31,-0.001655113573507996,1.1456667757743269,2
1977-02-28,-0.011752568899574012,1.1322022480560863,2
1977-03-31,-0.005272593729723184,1.1262326055822072,2
1977-04-30,0.00819467855830179,1.135461719766832,2
1977-05-31,-3.9847557526560204e-05,1.1354164743906343,2
1977-06-30,0.024847915515000943,1.163629207020633,2
1977-07-31,0.0017652242146004103,1.1656832734736822,2
1977-08-31,-0.0146569814254965,1.1485978753863664,2
1977-09-30,0.005458505829793733,1.1548675035852516,2
1977-10-31,-0.01512911407343356,1.137395381383809,2
1977-11-30,0.019520048538999184,1.1595973944364544,2
1977-12-31,0.0037583062081940196,1.1639555165229705,2
1978-01-31,-0.025778792651813435,1.1339501486065904,2
1978-02-28,-0.001346201958608865,1.1324236226955713,2
1978-03-31,0.014910392442358839,1.14930850332096,2
1978-04-30,0.023525365916110246,1.1763464064120828,2
1978-05-31,0.009928107913437066,1.1880253004785257,2
1978-06-30,-0.0039052960154875565,1.1833857100062686,2
1978-07-31,0.015403110934592273,1.2016135313759064,2
1978-08-31,0.015068224096113863,1.2197197133436015,2
1978-09-30,0.006908641317203348,1.2281463193506144,2
1978-10-31,-0.04464066443115596,1.1733210516361243,2
1978-11-30,0.017091470174114116,1.1933748333948233,2
1978-12-31,0.006611123587130584,1.201264381904168,2
1979-01-31,0.020847603255958136,1.22630786514362,2
1979-02-28,-0.00647711144745133,1.2183649324321986,2
1979-03-31,0.024995872176615617,1.2488190265477448,2
1979-04-30,0.004039861297733319,1.253864082200968,2
1979-05-31,-0.005506976954885647,1.2469590815957283,2
1979-06-30,0.02715340307425556,1.2808182641554007,2
1979-07-31,0.010228068062780152,1.293918560537234,2
1979-08-31,0.04236104986366835,1.3487303091996778,4
1979-09-30,-0.0041797277371047915,1.343092983716442,4
1979-10-31,-0.03636399300789035,1.2942527598476308,4
1979-11-30,0.030004104835489424,1.3330856553377204,4
1979-12-31,0.015291403642316707,1.3534704061832716,4
1980-01-31,0.006062044839783235,1.3616752044748743,4
1980-02-29,-0.022641058739734907,1.330845436185918,4
1980-03-31,-0.0372411376592779,1.2812832380936965,4
1980-04-30,0.026242819300628176,1.314907722583913,4
1980-05-31,0.043212492693897535,1.3717281629392197,4
1980-06-30,0.009106872388492334,1.3842203162708082,4
1980-07-31,0.04694365124523675,1.4492006720443964,4
1980-08-31,0.0065224017583597905,1.458652941055955,4
1980-09-30,0.008163415030325829,1.4705605303990001,4
1980-10-31,-0.0040593013187698425,1.4645910820986205,4
1980-11-30,0.023069649361279837,1.4983786848202931,4
